Time, H, H_Bound
2.0e-3, 4, 96
4.0e-3, 2, 98
6.0e-3, 0, 100
8.0e-3, 4, 96
1.0e-2, 2, 98
1.2e-2, 0, 100
1.4e-2, 0, 100
1.6e-2, 0, 100
1.8000000000000002e-2, 4, 96
2.0000000000000004e-2, 4, 96
2.2000000000000006e-2, 6, 94
2.4000000000000007e-2, 6, 94
2.600000000000001e-2, 6, 94
2.800000000000001e-2, 6, 94
3.0000000000000013e-2, 8, 92
3.2000000000000015e-2, 10, 90
3.4000000000000016e-2, 10, 90
3.600000000000002e-2, 10, 90
3.800000000000002e-2, 10, 90
4.000000000000002e-2, 12, 88
4.200000000000002e-2, 10, 90
4.4000000000000025e-2, 10, 90
4.600000000000003e-2, 10, 90
4.800000000000003e-2, 10, 90
5.000000000000003e-2, 10, 90
5.200000000000003e-2, 10, 90
5.4000000000000034e-2, 12, 88
5.6000000000000036e-2, 12, 88
5.800000000000004e-2, 12, 88
6.000000000000004e-2, 12, 88
6.200000000000004e-2, 12, 88
6.400000000000004e-2, 12, 88
6.600000000000004e-2, 12, 88
6.800000000000005e-2, 12, 88
7.000000000000005e-2, 12, 88
7.200000000000005e-2, 12, 88
7.400000000000005e-2, 12, 88
7.600000000000005e-2, 12, 88
7.800000000000006e-2, 12, 88
8.000000000000006e-2, 12, 88
8.200000000000006e-2, 12, 88
8.400000000000006e-2, 12, 88
8.600000000000006e-2, 8, 92
8.800000000000006e-2, 8, 92
9.000000000000007e-2, 10, 90
9.200000000000007e-2, 10, 90
9.400000000000007e-2, 10, 90
9.600000000000007e-2, 10, 90
9.800000000000007e-2, 10, 90
0.10000000000000007, 10, 90
0.10200000000000008, 10, 90
0.10400000000000008, 10, 90
0.10600000000000008, 10, 90
0.10800000000000008, 10, 90
0.11000000000000008, 10, 90
0.11200000000000009, 10, 90
0.11400000000000009, 10, 90
0.11600000000000009, 10, 90
0.11800000000000009, 10, 90
0.12000000000000009, 10, 90
0.1220000000000001, 10, 90
0.1240000000000001, 10, 90
0.12600000000000008, 10, 90
0.12800000000000009, 10, 90
0.1300000000000001, 10, 90
0.1320000000000001, 10, 90
0.1340000000000001, 10, 90
0.1360000000000001, 10, 90
0.1380000000000001, 10, 90
0.1400000000000001, 10, 90
0.1420000000000001, 10, 90
0.1440000000000001, 10, 90
0.1460000000000001, 10, 90
0.1480000000000001, 10, 90
0.1500000000000001, 10, 90
0.1520000000000001, 10, 90
0.1540000000000001, 10, 90
0.1560000000000001, 10, 90
0.1580000000000001, 10, 90
0.16000000000000011, 10, 90
0.16200000000000012, 10, 90
0.16400000000000012, 10, 90
0.16600000000000012, 10, 90
0.16800000000000012, 10, 90
0.17000000000000012, 10, 90
0.17200000000000013, 10, 90
0.17400000000000013, 10, 90
0.17600000000000013, 10, 90
0.17800000000000013, 10, 90
0.18000000000000013, 10, 90
0.18200000000000013, 10, 90
0.18400000000000014, 10, 90
0.18600000000000014, 10, 90
0.18800000000000014, 10, 90
0.19000000000000014, 10, 90
0.19200000000000014, 10, 90
0.19400000000000014, 10, 90
0.19600000000000015, 10, 90
0.19800000000000015, 10, 90
0.20000000000000015, 10, 90
