Time, Mg, Mg_plus, Mg_plus2
3.0e-4, 57, 5, 38
6.0e-4, 62, 5, 33
9.0e-4, 61, 6, 33
1.2e-3, 61, 6, 33
1.4999999999999998e-3, 60, 11, 29
1.7999999999999997e-3, 54, 12, 34
2.1e-3, 59, 9, 32
2.4e-3, 60, 10, 30
2.6999999999999997e-3, 61, 10, 29
2.9999999999999996e-3, 58, 11, 31
3.2999999999999995e-3, 54, 14, 32
3.5999999999999995e-3, 59, 10, 31
3.8999999999999994e-3, 60, 9, 31
4.2e-3, 60, 8, 32
4.5e-3, 56, 13, 31
4.8e-3, 62, 10, 28
5.0999999999999995e-3, 59, 10, 31
5.399999999999999e-3, 58, 13, 29
5.699999999999999e-3, 56, 11, 33
5.999999999999999e-3, 56, 12, 32
6.299999999999999e-3, 57, 13, 30
6.599999999999999e-3, 57, 11, 32
6.899999999999999e-3, 57, 12, 31
7.199999999999999e-3, 54, 16, 30
7.499999999999999e-3, 58, 12, 30
7.799999999999999e-3, 55, 18, 27
8.1e-3, 62, 9, 29
8.4e-3, 55, 13, 32
8.7e-3, 59, 11, 30
9.0e-3, 59, 10, 31
9.3e-3, 59, 11, 30
9.6e-3, 60, 12, 28
9.899999999999999e-3, 60, 8, 32
1.0199999999999999e-2, 61, 7, 32
1.0499999999999999e-2, 57, 9, 34
1.0799999999999999e-2, 54, 13, 33
1.1099999999999999e-2, 61, 5, 34
1.1399999999999999e-2, 57, 11, 32
1.1699999999999999e-2, 54, 13, 33
1.1999999999999999e-2, 57, 13, 30
1.2299999999999998e-2, 60, 9, 31
1.2599999999999998e-2, 60, 6, 34
1.2899999999999998e-2, 56, 10, 34
1.3199999999999998e-2, 53, 16, 31
1.3499999999999998e-2, 55, 12, 33
1.3799999999999998e-2, 58, 12, 30
1.4099999999999998e-2, 54, 13, 33
1.4399999999999998e-2, 57, 10, 33
1.4699999999999998e-2, 55, 11, 34
1.4999999999999998e-2, 59, 12, 29
1.5299999999999998e-2, 61, 9, 30
1.5599999999999998e-2, 59, 10, 31
1.5899999999999997e-2, 58, 8, 34
1.62e-2, 60, 6, 34
1.65e-2, 61, 7, 32
1.6800000000000002e-2, 61, 9, 30
1.7100000000000004e-2, 64, 3, 33
1.7400000000000006e-2, 62, 8, 30
1.7700000000000007e-2, 60, 9, 31
1.800000000000001e-2, 61, 6, 33
1.830000000000001e-2, 56, 8, 36
1.8600000000000012e-2, 56, 8, 36
1.8900000000000014e-2, 57, 7, 36
1.9200000000000016e-2, 62, 8, 30
1.9500000000000017e-2, 62, 9, 29
1.980000000000002e-2, 60, 8, 32
2.010000000000002e-2, 60, 9, 31
2.0400000000000022e-2, 58, 8, 34
2.0700000000000024e-2, 59, 8, 33
2.1000000000000026e-2, 58, 7, 35
2.1300000000000027e-2, 61, 9, 30
2.160000000000003e-2, 62, 7, 31
2.190000000000003e-2, 61, 7, 32
2.2200000000000032e-2, 58, 8, 34
2.2500000000000034e-2, 57, 10, 33
2.2800000000000036e-2, 62, 7, 31
2.3100000000000037e-2, 62, 8, 30
2.340000000000004e-2, 58, 8, 34
2.370000000000004e-2, 63, 6, 31
2.4000000000000042e-2, 58, 8, 34
2.4300000000000044e-2, 58, 6, 36
2.4600000000000045e-2, 58, 6, 36
2.4900000000000047e-2, 58, 6, 36
2.520000000000005e-2, 53, 11, 36
2.550000000000005e-2, 61, 6, 33
2.5800000000000052e-2, 63, 7, 30
2.6100000000000054e-2, 60, 5, 35
2.6400000000000055e-2, 60, 4, 36
2.6700000000000057e-2, 59, 9, 32
2.700000000000006e-2, 58, 7, 35
2.730000000000006e-2, 61, 7, 32
2.7600000000000062e-2, 58, 8, 34
2.7900000000000064e-2, 59, 8, 33
2.8200000000000065e-2, 57, 11, 32
2.8500000000000067e-2, 63, 7, 30
2.880000000000007e-2, 63, 4, 33
2.910000000000007e-2, 60, 7, 33
2.9400000000000072e-2, 59, 9, 32
2.9700000000000074e-2, 63, 6, 31
3.0000000000000075e-2, 59, 10, 31
