Time, X
0.0, 10000
0.20054021207263142, 9057
0.30004898699591487, 8590
0.4004592831285551, 8169
0.5001866222845982, 7765
0.6000570481779584, 7326
0.7001086825812017, 6967
0.8005961527596985, 6620
0.9004250061972908, 6283
1.0006844563520363, 5987
1.1001164865236994, 5714
1.2009056932684923, 5462
1.3001057633210047, 5175
1.400152127404819, 4914
1.5000263276021206, 4671
1.6007608405017182, 4468
1.7017970272092369, 4242
1.8002155112770368, 4031
1.90048349977901, 3829
2.000416485273963, 3631
2.100849822758008, 3451
2.2003090856481813, 3292
2.301299773192573, 3117
2.4005972873571935, 2968
2.501987297629634, 2834
2.6011958215573445, 2721
2.700041063023807, 2569
2.8004428007031303, 2426
2.9018572553144124, 2292
3.000197675055456, 2178
3.100361272882541, 2071
3.2005623515669623, 1978
3.3002170096950594, 1882
3.402367426012333, 1778
3.501289676295579, 1695
3.6008224308799544, 1607
3.700417261436008, 1539
3.8032609159437007, 1461
3.901179341284207, 1381
4.004497139970994, 1313
4.101672136833157, 1256
4.200991837311353, 1199
4.30099774860527, 1147
4.402816409208593, 1089
4.500919045462379, 1040
4.602126037696118, 996
4.700429973927319, 946
4.801328319002078, 898
4.900507698638493, 858
5.002135001363437, 802
5.100672005909652, 766
5.206932245304629, 732
5.305931248612628, 689
5.400907298946839, 661
5.503964088655406, 630
5.600887630987462, 594
5.7024861083336695, 557
5.802592135302243, 531
5.903939834771075, 500
6.013761058306244, 466
6.100374098310357, 444
6.207226776889033, 425
6.3033341754218455, 408
6.403299666432055, 394
6.502548643635109, 372
6.608155491179408, 357
6.7250625545503055, 342
6.809312389809065, 327
6.920589415667611, 315
7.003337531185581, 304
7.100630744284575, 286
7.206299059396571, 266
7.301478436876805, 256
7.401167480672139, 237
7.503637541926838, 224
7.6034159611159815, 213
7.700182043648687, 205
7.8050709086429375, 191
7.930073739790235, 179
8.009802437947199, 173
8.1088591186716, 164
8.220156493352059, 157
8.31607096585618, 150
8.401061519882628, 143
8.527368274024424, 129
8.606316447097155, 124
8.725591389450821, 118
8.818767780468441, 113
8.974193410459872, 106
9.01401298395185, 103
9.111977802287308, 96
9.201612161731115, 89
9.320876546607881, 82
9.467606145030762, 76
9.526069623242515, 75
9.632971448087822, 71
9.733076408615581, 66
9.94004666438686, 64
